NAMES,MAJOR CITY,STATE,ADDRESS
Almond Suites,New Heaven, Enugu ,2B Edem Close Opposite Dannic Hotel.
Clamany Garden And Suites,Enugu, Enugu ,"41, Bishop Amyogu Street 1,Independence Layout."
Pascana Resort Limited,Trans Ekulu, Enugu ,7 Emmanuel Street Near Timber Nike Lake Road
Beemattz Hotel Limited,Enugu North, Enugu ,"38 Enugu Road, 9th Mile"
Ozom Hotel,Enugu, Enugu ,"4 Mbaukwu Street, Independence Layout By Vosan Dri..."
Mavis Hotels ,Trans Ekulu, Enugu ,2 Bank Road Opposite CBN Quarters
La Virgin Suites ,New Heaven, Enugu ,18 Ifite-Ukpo Street
Sooil Plaza Hotels Ltd,Emene, Enugu ,"1, Ogbuagu Crescent , Opposite St Joseph Catholic ..."
Dikons Trident Hotels,Independence Layout, Enugu ,Plot 3b Imperial Hospital Drive P.M.B 10098 Chinat...
Iotanna Souia Guest House,Trans Ekulu, Enugu ,"14 Dental Avenue, Trans Ekulu GRA."
Favours Royale Hotel,Enugu, Enugu ,"4 ,Orazulike Close, Independence Layout, Enugu Sou..."
Fast Spring Hotel And Suite,Independence Layout, Enugu ,23 Nwo Okocha Street
Pentagon Luxury Hotel ,Independence Layout, Enugu ,Market Garden Independent Layout 
Pointers Hotels And Suites,Trans Ekulu, Enugu ,24 3rd Avenue Off Damija
Burgeon Hills Hotels,Independence Layout, Enugu ,"5B Egerton Avenue/1 Old High Court Drive, G.R.A"
Lubby Hotels,New Heaven, Enugu ,13B Nwosu Terrace Off Zik Avenue By P & T Quarters
Eddybina Hotels,New Heaven, Enugu ,11 Ebenator Street Upper Chime 
First Hotel,Independence Layout, Enugu ,"17/19, Annang Street, Ogui New Layout"
Hotel Chiloville,Independence Layout, Enugu ,10 Nza Street Independence Layout 
 Cintia Garden Hotel,New Heaven, Enugu ,"1 Umunze Crescent, Off Mike Torey Avenue, Phase Si..."
Paseana Resort Limited,Trans Ekulu, Enugu ,"7 Emmanuel Street, Off Nike Lake Road, Trans Ekulu"
Chasil Hotel Limited,Enugu North, Enugu ,5 Ona Lane Close Off Agbani Road Awkunanaw
Astoria Guest House,Enugu, Enugu ,13 Nwafor Orinzu Street Independence Lay-Out Enugu...
Confidence Hotel Limited,Awkunanaw, Enugu , Agu-Enugu Street
Edidas Hotel,Achara, Enugu ,76/78 Awkunanaw Street
Cosy Hotels,Achara, Enugu ,"94 Agbani Road, Near Mr Biggs"
Gardenia Hotel,Asata, Enugu ,13/15 Igboeze Street
Gemini Inn,Independence Layout, Enugu ,19 Igboeze Street
Brown & Brown Center Hotel,New Heaven, Enugu ,"18,Ezillo Street,Independence Layout"
Diamond Plaza ,Independence Layout, Enugu ,"4, River Lane, "
Royal Palace Hotel,Abgani, Enugu ,301/303 Agbani Road
Comni Hotel,Independence Layout, Enugu ,34  Ezillo Street Independent Layout 
Chibonny Hotel,Trans Ekulu, Enugu ,Nike Lake Hotel Road Trans-Ekulu
Villa Point Suites,Independence Layout, Enugu ,"Nike Lake Resort Road, Opposite Nike Lake Resort H..."
Hyton Hotels Limited,Enugu, Enugu ,"12 Beacon Hospital Street, Along Enugu-Onitsha Exp..."
Kixora Suites,New Heaven, Enugu ,5 Imperial Drive Chinatown Ogui Road
 Brown And Brown Hotel,Independence Layout, Enugu ,"Ezeilo Street, Independent Layout, Enugu"
Zin-Nia Hotel,Independence Layout, Enugu ,Beside New Heven PHCN Transmission City L/out
Radiance Hotel Ltd ,Enugu, Enugu ,"81, Ogui Road"
Eagle's Nest Hotel,Ngwo-Enugu ,,"nugu , Enugu - Along Hilltop Road, "
Novas Guest House,Abakpa Nike, Enugu ,"No 4, Ugwu Nnameka Street, Edem"
Delizon And Elvee Group,Gariki, Enugu ,Plot 145 Ihe Street
One Day International Hotel LTD,Awkunanaw, Enugu ,"No 100, Idaw River Avenue, Achara"
Amex Hotel,GRA, Enugu ,45b Ikri Effa Street Off Palameniry Road
Chisom Guest House Ltd,Mgbowo, Enugu ," New 4 Corners, Ozalla"
Apple Lodge Resort,Enugu, Enugu ,7 Faith Drive Golf Estate G.R.A Enugu
Flamingo Suites,Nsukka, Enugu ,"1 La-vie Avenue, Behind Prisons Nsukka"
Golden Villa Hotel,Independence Layout, Enugu ,"No. 87 Ugwuaji Road, Independence Layout"
Golden Bricks Hotel,Enugu, Enugu ,"Plot 17 Liberty Estate, Phase II"
City Park Hotels ,Independence Layout, Enugu ,23 Umunano Street Independent Layout
Female Hotel Limited ,Awkunaw , Enugu ,"Â 26, Meniru Street, "
Topland Hotel,Trans Ekulu, Enugu ,"80 Amechi Road, Awkunanaw"
Pinnacle Pointer Hotel,Trans Ekulu, Enugu ,"24th Third Avenue Trans Ekulu, Off Damija Enugu"
Greenpo Hotels,Trans Ekulu, Enugu ,5 Ozor Ezea Street Phase 6
Oma Hotel,Enugu, Enugu ,3 Dennis Crescent
New Dawn Guest House,Enugu North, Enugu ,Agbalaenyi Machi-Oji-Rive
Broza Garden Hotel,New Heaven, Enugu ,"37 Uduma Street ,New Heaven Enugu."
Hotel Metropole International ,Independence Layout, Enugu ,"Plot 258, Ogui Road, Asata River Layout,  "
Rossy Velley Hotel,Enugu North, Enugu ,"35/37, Calabar Street, Coal Camp, Enugu North, Enu..."
Romans International Hotel,New Heaven, Enugu ,"8, Aku Sreet, Agui New Layout"
